Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,DistrictSize,PriceOneRoom,PriceOneRoomByDistrict,RoomSquare,Floor_cat,Floor_cat_qcut,HouseFloor_cat
14038,999,2.0,47.98156123517504,29.44275054713416,6.0,7,9.0,1969,0.089039719,1,1,33,7976,5,1007.7811764705882,0,11,1,184966.9307298416,15,92483.4653649208,129339.26816358854,23.99078061758752,2,2,2
15053,999,3.0,65.68363987232782,40.04954252356545,8.0,7,9.0,1978,6.99893e-05,1,1,46,10309,1,240.0,1,16,1,300009.4500627274,15,100003.15002090913,129339.26816358854,21.89454662410927,2,2,2
4765,53,2.0,44.947952764125,29.1976116880482,0.0,8,12.0,1968,0.049637257,1,1,34,7759,0,229.0,1,3,1,220925.90852358093,174,110462.95426179047,138669.19992488436,22.4739763820625,2,2,2
5809,58,2.0,53.35298135561334,52.73151204863503,9.0,8,17.0,1977,0.43788524,1,1,23,5735,3,1084.0,0,5,1,175616.22721724625,179,87808.11360862313,105638.51674758486,26.67649067780667,2,2,2
10783,999,1.0,39.64919195003,23.7761691108976,7.0,11,12.0,1976,0.012338886,1,1,35,5776,1,2078.0,2,4,1,150226.5316437466,15,150226.5316437466,129339.26816358854,39.64919195003,2,3,2
12915,999,3.0,80.38447920267191,46.68372012823429,12.0,5,17.0,2011,0.309479124,1,1,35,7715,4,990.0,0,6,1,215898.44774214897,15,71966.14924738299,129339.26816358854,26.79482640089064,1,2,2
14549,999,2.0,62.2541135864025,37.16037741888674,7.0,3,5.0,1960,0.460556389,1,1,20,4386,14,811.3621621621621,1,5,1,296021.2043771131,15,148010.60218855654,129339.26816358854,31.12705679320125,1,1,1
11993,74,2.0,80.31292563185586,80.31292563185586,0.0,14,17.0,1977,0.075778755,1,1,6,1437,3,1007.7811764705882,0,2,1,221244.15666358557,114,110622.07833179279,127646.56495323495,40.15646281592793,2,3,2
5172,1,2.0,64.51143730838427,63.511437308384274,1.0,9,17.0,1977,0.0071223169999999,1,1,1,264,0,1007.7811764705882,0,1,1,229102.7959994131,652,114551.39799970655,106080.89813984977,32.25571865419214,2,2,2
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13,17.0,2014,0.075778755,1,1,6,1437,3,1007.7811764705882,0,2,1,95380.22099316985,565,95380.22099316985,76232.42437168532,46.46140869718414,2,3,2
15370,999,2.0,46.304906773325854,27.922584447134263,6.0,8,9.0,1973,0.118537385,1,1,30,6207,1,1183.0,1,0,1,204243.55312879704,15,102121.77656439852,129339.26816358854,23.152453386662927,2,2,2
12427,999,3.0,68.80885909839964,45.73690563942196,7.0,1,8.0,1959,0.0,1,1,23,3684,2,1007.7811764705882,0,4,1,165534.5414246522,15,55178.18047488407,129339.26816358854,22.936286366133213,1,1,2
